candidate_id,name,family,tier,priority_score,screen,n_sources,n_citable_charges,fills_thin_columns,gap_cell_hint,staleness_check_required,rn,ck,ghr,df,dh,su,precited_charges,distinct_vs_118,notes
lex-first-maximal-independent-set,Lexicographically-First Maximal Independent Set,graph,C,106,PASS-multi,1,3,counting|parallelization,counting=FP x parallelization=P-complete,False,False,False,True,False,False,False,decision=P; parallelization=P-complete; counting=FP,distinct from independent-set (lex-first selection object) (S2),parallelization anchor + candidate gap-cell occupant
abstract-argumentation,Credulous Acceptance in Abstract Argumentation (preferred semantics),logic-proof,B,104,PASS-multi,2,2,decision(beyond-NP),decision=PH-complete x parameterized,False,False,False,False,False,True,True,decision=PH-complete; parameterized=FPT,distinct new problem,fills beyond-NP decision AND parameterized; de Haan compendium core
sharp-dnf,#DNF (count satisfying assignments of a DNF),logic-proof,D,104,PASS-multi,1,2,counting,decision=P x counting=#P-complete,False,True,False,False,False,False,False,decision=P; counting=#P-complete,distinct new problem (counting object; decision trivial),"DECOUPLING WITNESS (decision easy, counting hard) + counting-column filler"
sharp-eulerian-circuits,#Eulerian Circuits,graph,D,104,PASS-multi,1,2,counting,decision=P x counting=#P-complete,False,True,False,False,False,False,False,decision=P; counting=#P-complete,distinct new problem,decoupling witness + counting filler
sharp-linear-extensions,#Linear Extensions of a Poset,logic-proof,D,104,PASS-multi,1,2,counting,decision=P x counting=#P-complete,False,True,False,False,False,False,False,decision=P; counting=#P-complete,distinct new problem (counting object),decoupling witness + counting filler
sharp-monotone-2sat,#Monotone-2-SAT (count satisfying assignments),sat-csp,D,104,REVISIT-S2,1,2,counting,decision=P x counting=#P-complete,False,True,False,False,False,False,False,decision=P; counting=#P-complete,REVISIT S2: possible merge with sharp-dnf via complementation/re-encoding — owner ruling,decoupling witness; check S2 vs sharp-dnf
chromatic-number,"Chromatic Number (Vertex Coloring, optimization)",graph,A,8,PASS-multi,3,4,counting,,False,True,True,False,True,False,False,decision=NPC; counting=#P-complete; approximation=inapprox; parameterized=para-NP-hard,distinct: k=3 restriction (graph-3-coloring) and edge-coloring stay separate (S2),flagship counting-column filler with a modern tight inapprox
max-2sat,MAX-2-SAT,sat-csp,A,6,PASS-multi,2,3,counting,,False,True,True,False,False,False,False,decision=NPC; approximation=APX-complete; counting=#P-complete,distinct from sat-2 (max vs decision) and max-2lin (S2),"decoupling-flavored (2-SAT P, MAX-2-SAT NPC) + counting filler"
max-e3-sat,MAX-E3-SAT (maximize satisfied exact-3-clauses),sat-csp,A,6,PASS-multi,2,3,counting,,False,True,True,False,False,False,False,decision=NPC; approximation=APX-complete; counting=#P-complete,distinct constraint language from sat / nae-sat / one-in-three-sat (S2),tight modern inapprox + counting filler
subgraph-isomorphism,Subgraph Isomorphism (non-induced),graph,A,6,PASS-multi,2,3,counting,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[1]; counting=#W[1]-hard / #P-complete,distinct from induced-subgraph-isomorphism (different YES-set) and graph-isomorphism (S2),fills W[1] and counting; canonical parameterized anchor
judgment-aggregation,Judgment Aggregation (winner determination),logic-proof,B,4,PASS-multi,1,2,decision(beyond-NP),,False,False,False,False,False,True,False,decision=PH-complete; parameterized=W[1]/FPT,distinct new problem,beyond-NP decision + parameterized (de Haan)
and-or-graph-accessibility,AND/OR Graph Accessibility (Alternating Graph Accessibility),graph,C,4,PASS-multi,1,2,parallelization,,False,False,False,True,False,False,False,decision=P; parallelization=P-complete,"distinct from reachability-stcon (alternating vs plain, S2)",parallelization filler
context-free-membership,Context-Free Grammar Membership (CFL recognition),logic-proof,C,4,PASS-multi,1,2,parallelization,,False,False,False,True,False,False,False,decision=P; parallelization=P-complete,distinct new problem,parallelization filler
dfs-lexicographic-ordering,Lexicographic Depth-First Search Ordering,graph,C,4,PASS-multi,1,2,parallelization,,False,False,False,True,False,False,False,decision=P; parallelization=P-complete,distinct new problem,parallelization filler
path-system-accessibility,Path System Accessibility,logic-proof,C,4,PASS-multi,1,2,parallelization,,False,False,False,True,False,False,False,decision=P; parallelization=P-complete,distinct new problem,historic P-complete; parallelization filler
unification,First-Order Term Unification,logic-proof,C,4,PASS-multi,1,2,parallelization,,False,False,False,True,False,False,False,decision=P; parallelization=P-complete,distinct new problem,parallelization filler
bandwidth,Graph Bandwidth,graph,A,3,PASS-multi,3,3,,,True,True,True,False,True,False,False,decision=NPC; parameterized=W-hard/XP; approximation=poly-log / inapprox-const,distinct new graph problem,hard-to-parameterize canonical; staleness check on approx
closest-substring,Closest Substring,string,A,3,PASS-multi,3,3,,,False,True,True,False,True,False,False,decision=NPC; parameterized=W[1]; approximation=PTAS,distinct from closest-string (substring vs whole string) (S2),multi-charge; grows thin string family
independent-dominating-set,Independent Dominating Set (Minimum Maximal Independent Set),graph,A,3,PASS-multi,3,3,,,False,True,True,False,True,False,False,decision=NPC; approximation=inapprox; parameterized=W[2],distinct from dominating-set (adds independence) and independent-set (S2),tight inapprox + W[2]
list-coloring,List Coloring,graph,A,3,PASS-multi,2,3,,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[1]; approximation=inapprox,distinct from chromatic-number (per-vertex lists) (S2),W[1]-hard-by-treewidth witness
maximum-induced-matching,Maximum Induced Matching,graph,A,3,PASS-multi,2,3,,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[1]; approximation=poly-APX,distinct from matching (induced constraint) (S2),W[1] + approx
metric-dimension,Metric Dimension,graph,A,3,PASS-multi,2,3,,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[2]; approximation=log-APX,distinct new graph problem,canonical W[2]-complete; fills the sparse W[2]+ end (4 rows)
multicut,Minimum Multicut (with terminal pairs),graph,A,3,PASS-multi,2,3,,,False,True,False,False,True,False,False,decision=NPC; parameterized=FPT; approximation=log-APX,distinct from multiway-cut (terminal pairs vs terminal set) (S2),landmark FPT; multi-charge
target-set-selection,Target Set Selection,graph,A,3,PASS-multi,2,3,,,False,True,False,False,True,False,False,decision=NPC; parameterized=para-NP-hard; approximation=inapprox,distinct new problem,hard everywhere; multi-charge
closest-string,Closest String,string,E,3,PASS-multi,3,3,,,False,True,True,False,True,False,False,decision=NPC; approximation=PTAS; parameterized=FPT,"distinct new problem (string family, only 3 rows)",multi-charge; grows the thin string family
feedback-arc-set,Minimum Feedback Arc Set (general directed),graph,E,3,PASS-multi,3,3,,,True,True,True,False,True,False,False,decision=NPC; approximation=APX-hard; parameterized=FPT,"distinct from feedback-arc-set-tournament (restriction, S2) and directed-feedback-vertex-set (arcs vs vertices, S2); NOTE Maximum Acyclic Subgraph merges by complementation (S2)",multi-charge but core columns already well-covered; S2 complementation note
capacitated-dominating-set,Capacitated Dominating Set,graph,A,2,PASS-multi,2,2,,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[1],distinct from dominating-set (capacities) and capacitated-vertex-cover (S2),W[1] parameterized
equitable-coloring,Equitable Coloring,graph,A,2,PASS-multi,2,2,,,False,True,False,False,True,False,False,decision=NPC; parameterized=W[1],distinct from chromatic-number (balance constraint) (S2),W[1]-by-treewidth witness
sparsest-cut,Sparsest Cut (non-uniform),graph,A,2,PASS-multi,2,2,,,True,True,True,False,False,False,False,decision=NPC; approximation=inapprox,distinct from min-bisection (balance) (S2),approx-primary; currency-current
bilevel-knapsack,Bilevel Knapsack,optimization,B,2,PASS-single,1,1,decision(beyond-NP),,False,False,False,False,False,False,True,decision=PH-complete,distinct new problem,clean beyond-NP decision filler
competitive-facility-location,Competitive Facility Location (2-player),optimization,B,2,PASS-single,1,1,decision(beyond-NP),,False,False,False,False,False,False,True,decision=PH-complete,distinct new problem,clean beyond-NP decision filler (Schaefer-Umans)
generalized-geography,Generalized Geography,logic-proof,B,2,PASS-single,1,1,decision(beyond-NP),,False,False,False,False,False,False,True,decision=PSPACE-complete,"distinct from TQBF (different object, S2)",canonical PSPACE game; fills sparse PSPACE (2 rows)
min-equivalent-expression,Minimum Equivalent Expression (general formulas),logic-proof,B,2,REVISIT-S2,1,1,decision(beyond-NP),,False,False,False,False,False,False,True,decision=PH-complete,REVISIT S2: superproblem of dnf-minimization (DNF restriction) — likely distinct (different formula class),borderline vs dnf-minimization; owner S2 ruling needed
facility-location,Uncapacitated Facility Location (metric),optimization,E,2,PASS-multi,2,2,,,False,True,True,False,False,False,False,decision=NPC; approximation=APX-complete,distinct from k-median (opening costs vs cardinality) (S2),canonical CK approx problem
min-linear-arrangement,Minimum Linear Arrangement (Optimal Linear Arrangement),graph,E,2,PASS-multi,2,2,,,True,True,True,False,False,False,False,decision=NPC; approximation=poly-log-APX,distinct new problem,Crescenzi-Kann approximation problem; staleness check
set-splitting,Set Splitting (Hypergraph 2-Coloring / Max Set Splitting),sat-csp,E,2,PASS-multi,2,2,,,True,True,True,False,False,False,False,decision=NPC; approximation=APX-complete,distinct from nae-sat (set systems vs CNF) (S2 — different constraint language),approx-primary; staleness
betweenness,Betweenness (Total Order),logic-proof,F,1,PASS-single,1,1,,,False,True,False,False,False,False,False,decision=NPC,distinct new problem,single-charge; low priority
