candidate_id,name,origin,sources,charges,n_charges,multi_charge,screen,note
lex-first-maximal-independent-set,Lexicographically-First Maximal Independent Set,curated-37,ghr,decision=P;parallelization=P-complete;counting=FP,3,True,PASS-multi,parallelization anchor + candidate gap-cell occupant
abstract-argumentation,Credulous Acceptance in Abstract Argumentation (preferred semantics),curated-37,"dh,su",decision=PH-complete;parameterized=FPT,2,True,PASS-multi,fills beyond-NP decision AND parameterized; de Haan compendium core
sharp-dnf,#DNF (count satisfying assignments of a DNF),curated-37,rn,decision=P;counting=#P-complete,2,True,PASS-multi,"DECOUPLING WITNESS (decision easy, counting hard) + counting-column filler"
sharp-eulerian-circuits,#Eulerian Circuits,curated-37,rn,decision=P;counting=#P-complete,2,True,PASS-multi,decoupling witness + counting filler
sharp-linear-extensions,#Linear Extensions of a Poset,curated-37,rn,decision=P;counting=#P-complete,2,True,PASS-multi,decoupling witness + counting filler
sharp-monotone-2sat,#Monotone-2-SAT (count satisfying assignments),curated-37,rn,decision=P;counting=#P-complete,2,True,REVISIT-S2,decoupling witness; check S2 vs sharp-dnf
chromatic-number,"Chromatic Number (Vertex Coloring, optimization)",curated-37,"rn,ck,df",decision=NPC;counting=#P-complete;approximation=inapprox;parameterized=para-NP-hard,4,True,PASS-multi,flagship counting-column filler with a modern tight inapprox
max-2sat,MAX-2-SAT,curated-37,"rn,ck",decision=NPC;approximation=APX-complete;counting=#P-complete,3,True,PASS-multi,"decoupling-flavored (2-SAT P, MAX-2-SAT NPC) + counting filler"
max-e3-sat,MAX-E3-SAT (maximize satisfied exact-3-clauses),curated-37,"rn,ck",decision=NPC;approximation=APX-complete;counting=#P-complete,3,True,PASS-multi,tight modern inapprox + counting filler
subgraph-isomorphism,Subgraph Isomorphism (non-induced),curated-37,"rn,df",decision=NPC;parameterized=W[1];counting=#W[1]-hard / #P-complete,3,True,PASS-multi,fills W[1] and counting; canonical parameterized anchor
judgment-aggregation,Judgment Aggregation (winner determination),curated-37,dh,decision=PH-complete;parameterized=W[1]/FPT,2,True,PASS-multi,beyond-NP decision + parameterized (de Haan)
and-or-graph-accessibility,AND/OR Graph Accessibility (Alternating Graph Accessibility),curated-37,ghr,decision=P;parallelization=P-complete,2,True,PASS-multi,parallelization filler
